title,price_gbp,price_inr,rating,in_stock,category,product_url,price,star_rating,availability
It's Only the Himalayas,45.17,4765.44,2,True,Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Â£45.17,Two,In stock
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,True,Travel,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Â£49.43,Four,In stock
See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,True,Travel,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Â£48.87,Three,In stock
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,True,Travel,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Â£36.94,Two,In stock
Under the Tuscan Sun,37.33,3938.31,3,True,Travel,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Â£37.33,Three,In stock
A Summer In Europe,44.34,4677.87,2,True,Travel,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Â£44.34,Two,In stock
The Great Railway Bazaar,30.54,3221.97,1,True,Travel,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,Â£30.54,One,In stock
A Year in Provence (Provence #1),56.88,6000.84,4,True,Travel,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Â£56.88,Four,In stock
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,True,Travel,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,Â£23.21,One,In stock
Neither Here nor There: Travels in Europe,38.95,4109.23,3,True,Travel,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Â£38.95,Three,In stock
"1,000 Places to See Before You Die",26.08,2751.44,5,True,Travel,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Â£26.08,Five,In stock
Sharp Objects,47.82,5045.01,4,True,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Â£47.82,Four,In stock
"In a Dark, Dark Wood",19.63,2070.96,1,True,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Â£19.63,One,In stock
The Past Never Ends,56.5,5960.75,4,True,Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Â£56.50,Four,In stock
A Murder in Time,16.64,1755.52,1,True,Mystery,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,Â£16.64,One,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,Mystery,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Â£44.10,Four,In stock
The Last Mile (Amos Decker #2),54.21,5719.16,2,True,Mystery,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Â£54.21,Two,In stock
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,Mystery,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,Â£13.92,One,In stock
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,True,Mystery,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,Â£10.69,One,In stock
A Time of Torment (Charlie Parker #14),48.35,5100.92,5,True,Mystery,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Â£48.35,Five,In stock
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,True,Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Â£16.73,Two,In stock
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Â£26.80,Three,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Â£54.36,Four,In stock
Most Wanted,35.28,3722.04,3,True,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Â£35.28,Three,In stock
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,Mystery,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,Â£11.84,One,In stock
Boar Island (Anna Pigeon #19),59.48,6275.14,3,True,Mystery,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Â£59.48,Three,In stock
The Widow,27.26,2875.93,2,True,Mystery,https://books.toscrape.com/catalogue/the-widow_609/index.html,Â£27.26,Two,In stock
Playing with Fire,13.71,1446.41,3,True,Mystery,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Â£13.71,Three,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,True,Mystery,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Â£25.37,Five,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,Mystery,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Â£52.30,Five,In stock
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,True,Mystery,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Â£20.89,Four,In stock
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,True,Mystery,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,Â£24.80,Four,In stock
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,True,Mystery,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,Â£38.38,Two,In stock
The Silkworm (Cormoran Strike #2),23.05,2431.78,5,True,Mystery,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,Â£23.05,Five,In stock
The Exiled,43.45,4583.98,3,True,Mystery,https://books.toscrape.com/catalogue/the-exiled_247/index.html,Â£43.45,Three,In stock
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,True,Mystery,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,Â£19.21,One,In stock
